smiles,id,MW,LogP,HBD,HBA,PSA,pIC50
COC(=O)[C@]1(C)CCC[C@]2(C)c3ccc(C(C)C)cc3CC[C@H]21,CHEMBL12798,314.4690000000001,4.993300000000005,2.0,0.0,26.3,3.684029654543082
C=C[C@@]1(C)CC[C@H]2C(=CC[C@H]3[C@](C)(C(=O)O)CCC[C@]23C)C1,CHEMBL512164,302.4580000000001,5.206200000000004,1.0,1.0,37.3,3.547446936771075
C=C1CC[C@H]2[C@](C)(CO)CCC[C@]2(C)[C@H]1CC/C(C)=C\CO,CHEMBL1277840,306.48999999999995,4.476400000000005,2.0,2.0,40.46,3.8610660597430764
O=c1cc(-c2ccc(O)c(-c3c(O)cc(O)c4c(=O)cc(-c5ccc(O)cc5)oc34)c2)oc2cc(O)cc(O)c12,CHEMBL63354,538.4640000000002,5.134000000000007,10.0,6.0,181.8,5.080921907623926
COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1-c1c(O)cc(O)c2c(=O)cc(-c3ccc(O)cc3)oc12,CHEMBL378188,552.4910000000003,5.437000000000006,10.0,5.0,170.8,4.140861702705469
COc1cc(O)c2c(=O)cc(-c3ccc(OC)c(-c4c(O)cc(O)c5c(=O)cc(-c6ccc(O)cc6)oc45)c3)oc2c1,CHEMBL377324,566.5180000000003,5.740000000000006,10.0,4.0,159.8,4.494850021680094
COc1ccc(-c2cc(=O)c3c(O)cc(O)c(-c4cc(-c5cc(=O)c6c(O)cc(OC)cc6o5)ccc4OC)c3o2)cc1,CHEMBL208908,580.5450000000003,6.043000000000007,10.0,3.0,148.8,4.4156687756324695
O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,CHEMBL28,270.24,2.576800000000001,5.0,3.0,90.9,3.5516028965422324
O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,CHEMBL151,286.23900000000003,2.2824000000000004,6.0,4.0,111.13000000000001,4.698970004336019
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,CHEMBL50,302.23800000000006,1.988,7.0,5.0,131.36,4.623423042943488
CC(C)C1=CC2=CC[C@H]3[C@](C)(C(=O)O)CCC[C@]3(C)[C@H]2CC1,CHEMBL71893,302.458,5.206200000000004,1.0,1.0,37.3,3.72330847115496
Nc1nc(CSc2nnc(-c3cccc4ccccc34)n2-c2ccccc2)cs1,CHEMBL1774322,415.5470000000001,5.4185000000000025,7.0,1.0,69.62,4.233959139618611
COc1cc(C2C(C(=O)c3ccc(OCC(C)C)cc3C)=C(O)C(=O)N2CCN(C)C)ccc1O,CHEMBL1774323,482.5770000000003,3.883920000000003,7.0,2.0,99.54,4.202109516941651
